Time(ms),Voltage(mV),Current(nA),Energy(uJ)
5,3300,5.9902e+006,9.88387
5.5,3300,5.9902e+006,20.1636
6,3300,5.9902e+006,30.4433
6.5,3300,6.3101e+006,41.1189
7,3300,6.3101e+006,51.7946
7.5,3300,6.3101e+006,62.4702
8,3300,6.4701e+006,73.1458
8.5,3300,6.4701e+006,84.2172
9,3300,6.4701e+006,95.2887
9.5,3300,6.71e+006,106.36
10,3300,6.71e+006,117.432
10.5,3300,6.71e+006,128.503
11,3300,6.79e+006,139.97
11.5,3300,6.79e+006,151.042
12,3300,6.79e+006,162.509
12.5,3300,6.79e+006,173.581
13,3300,6.79e+006,184.652
13.5,3300,6.79e+006,195.724
14,3300,6.79e+006,207.191
14.5,3300,6.79e+006,218.658
15,3300,6.79e+006,229.73
15.5,3300,6.71e+006,240.405
16,3300,6.71e+006,251.477
16.5,3300,6.71e+006,262.548
17,3300,6.63e+006,273.224
17.5,3300,6.63e+006,284.691
18,3300,6.63e+006,295.367
18.5,3300,6.63e+006,306.042
19,3300,6.63e+006,316.718
19.5,3300,6.63e+006,327.394
20,3300,6.3901e+006,337.673
20.5,3300,6.3901e+006,347.557
21,3300,6.3901e+006,357.441
21.5,3300,6.0702e+006,367.721
22,3300,6.0702e+006,378.001
22.5,3300,6.0702e+006,388.28
23,3300,6.2301e+006,398.56
23.5,3300,6.2301e+006,409.236
24,3300,6.2301e+006,419.119
24.5,3300,6.2301e+006,429.399
25,3300,6.2301e+006,439.679
25.5,3300,6.2301e+006,449.959
26,3300,6.2301e+006,460.238
26.5,3300,6.2301e+006,470.518
27,3300,6.2301e+006,481.59
27.5,3300,6.4701e+006,492.265
28,3300,6.4701e+006,502.941
28.5,3300,6.4701e+006,514.012
29,3300,6.55e+006,524.688
29.5,3300,6.55e+006,535.759
30,3300,6.55e+006,547.623
30.5,3300,7.0299e+006,559.486
31,3300,7.0299e+006,571.349
31.5,3300,7.0299e+006,583.212
32,3300,7.1898e+006,595.075
32.5,3300,7.1898e+006,606.939
33,3300,7.1898e+006,618.406
33.5,3300,7.0299e+006,629.873
34,3300,7.0299e+006,641.341
34.5,3300,7.0299e+006,652.016
35,3300,6.63e+006,662.692
35.5,3300,6.63e+006,672.971
36,3300,6.63e+006,683.251
36.5,3300,6.2301e+006,693.531
37,3300,6.2301e+006,703.415
37.5,3300,6.2301e+006,713.695
38,3300,6.2301e+006,724.37
38.5,3300,6.2301e+006,735.046
39,3300,6.2301e+006,745.325
39.5,3300,6.3901e+006,756.001
40,3300,6.3901e+006,766.281
40.5,3300,6.3901e+006,776.561
41,3300,6.3101e+006,787.236
41.5,3300,6.3101e+006,797.516
42,3300,6.3101e+006,807.796
42.5,3300,6.2301e+006,818.075
43,3300,6.2301e+006,828.355
43.5,3300,6.2301e+006,838.635
44,3300,6.2301e+006,848.915
44.5,3300,6.2301e+006,859.194
45,3300,6.2301e+006,869.078
45.5,3300,6.1502e+006,879.358
46,3300,6.1502e+006,890.034
46.5,3300,6.1502e+006,900.709
47,3300,6.63e+006,912.176
47.5,3300,6.63e+006,923.644
48,3300,6.63e+006,935.111
48.5,3300,6.9499e+006,946.578
49,3300,6.9499e+006,958.046
49.5,3300,6.9499e+006,969.909
50,3300,7.0299e+006,981.376
50.5,3300,7.0299e+006,993.24
51,3300,7.0299e+006,1004.71
51.5,3300,7.0299e+006,1016.17
52,3300,7.0299e+006,1027.64
52.5,3300,7.0299e+006,1038.71
53,3300,6.71e+006,1049.39
53.5,3300,6.71e+006,1060.06
54,3300,6.71e+006,1070.34
54.5,3300,6.3901e+006,1081.02
55,3300,6.3901e+006,1091.3
55.5,3300,6.3901e+006,1101.58
56,3300,6.2301e+006,1111.86
56.5,3300,6.2301e+006,1122.53
57,3300,6.2301e+006,1132.81
57.5,3300,6.3101e+006,1143.09
58,3300,6.3101e+006,1153.77
58.5,3300,6.3101e+006,1164.44
59,3300,6.4701e+006,1175.12
59.5,3300,6.4701e+006,1185.8
60,3300,6.4701e+006,1196.08
60.5,3300,6.3101e+006,1206.36
61,3300,6.3101e+006,1216.64
61.5,3300,6.3101e+006,1227.31
62,3300,6.3101e+006,1237.59
62.5,3300,6.3101e+006,1247.87
63,3300,6.3101e+006,1258.55
63.5,3300,6.4701e+006,1269.62
64,3300,6.4701e+006,1280.29
64.5,3300,6.4701e+006,1290.97
65,3300,6.55e+006,1302.04
65.5,3300,6.55e+006,1312.72
66,3300,6.55e+006,1323.79
66.5,3300,6.63e+006,1334.86
67,3300,6.63e+006,1346.33
67.5,3300,6.63e+006,1357
68,3300,6.63e+006,1367.68
68.5,3300,6.63e+006,1378.75
69,3300,6.63e+006,1389.82
69.5,3300,6.63e+006,1400.5
70,3300,6.63e+006,1411.17
70.5,3300,6.63e+006,1422.24
71,3300,6.63e+006,1433.31
71.5,3300,6.63e+006,1445.18
72,3300,6.63e+006,1456.25
72.5,3300,6.8699e+006,1467.32
73,3300,6.8699e+006,1478.39
73.5,3300,6.8699e+006,1489.07
74,3300,6.63e+006,1500.14
74.5,3300,6.63e+006,1510.81
75,3300,6.63e+006,1521.09
75.5,3300,6.3101e+006,1531.37
76,3300,6.3101e+006,1541.65
